<div>day</div>	日 -&nbsp;rì
日 -&nbsp;rì	day
<div>week</div>	星期 -&nbsp;xīngqī
星期 -&nbsp;xīngqī	week
<div>(used after an attribute) of</div>	的 -&nbsp;de
的 -&nbsp;de	(used after an attribute) of
<div>birthday</div>	生日 -&nbsp;shēngrì
生日 -&nbsp;shēngrì	birthday
<div>to finish class</div>	下课 -&nbsp;xià kè
下课 -&nbsp;xià kè	to finish class
<div>after</div>	以后 -&nbsp;yǐhòu
以后 -&nbsp;yǐhòu	after
<div>plan, intend</div>	准备 -&nbsp;zhǔnbèi
准备 -&nbsp;zhǔnbèi	plan, intend
<div>invite</div>	请 -&nbsp;qǐng
请 -&nbsp;qǐng	invite
<div>to eat</div>	吃 -&nbsp;chī
吃 -&nbsp;chī	to eat
<div>meal</div>	饭 -&nbsp;fàn
饭 -&nbsp;fàn	meal
<div>right</div>	对 -&nbsp;duì
对 -&nbsp;duì	right
<div>ordinal number</div>	号 -&nbsp;hào
号 -&nbsp;hào	ordinal number
<div>how about?</div>	怎么样 -&nbsp;zěnmeyàng
怎么样 -&nbsp;zěnmeyàng	how about?
<div>to wish,&nbsp;to express good wishes</div>	祝 -&nbsp;zhù
祝 -&nbsp;zhù	to wish,&nbsp;to express good wishes
<div>happy</div>	快乐 -&nbsp;kuàilè
快乐 -&nbsp;kuàilè	happy
<div>gift,&nbsp;present</div>	礼物 -&nbsp;lǐwù
礼物 -&nbsp;lǐwù	gift,&nbsp;present
<div>classifier for books, periodicals, files etc</div>	本 -&nbsp;běn
本 -&nbsp;běn	classifier for books, periodicals, files etc
<div>book</div>	书 -&nbsp;shū
书 -&nbsp;shū	book
<div>classifier for rods such as pens and guns</div>	支 -&nbsp;zhī
支 -&nbsp;zhī	classifier for rods such as pens and guns
<div>pen</div>	笔 -&nbsp;bǐ
笔 -&nbsp;bǐ	pen
<div>interjection or grunt of agreement</div>	啊 -&nbsp;a
啊 -&nbsp;a	interjection or grunt of agreement
<div>time, period</div>	时间 -&nbsp;shíjiān
时间 -&nbsp;shíjiān	time, period
<div>no problem</div>	没问题 -&nbsp;méi wèntí
没问题 -&nbsp;méi wèntí	no problem
<div>not have, be without</div>	没(有) -&nbsp;méi (yǒu)
没(有) -&nbsp;méi (yǒu)	not have, be without
<div>question, problem</div>	问题 -&nbsp;wèntí
问题 -&nbsp;wèntí	question, problem
<div>tomorrow</div>	明天 -&nbsp;míngtiān
明天 -&nbsp;míngtiān	tomorrow
<div>the day after tomorrow</div>	后天 -&nbsp;hòutiān
后天 -&nbsp;hòutiān	the day after tomorrow
<div>yesterday</div>	昨天 -&nbsp;zuótiān
昨天 -&nbsp;zuótiān	yesterday
<div>the day before yesterday</div>	前天 -&nbsp;qiántiān
前天 -&nbsp;qiántiān	the day before yesterday
<div>newspaper</div>	报纸 -&nbsp;bàozhǐ
报纸 -&nbsp;bàozhǐ	newspaper
<div>magazine</div>	杂志 -&nbsp;zázhì
杂志 -&nbsp;zázhì	magazine
<div>clothes</div>	衣服 -&nbsp;yīfu
衣服 -&nbsp;yīfu	clothes
<div>every day</div>	每天 -&nbsp;měitiān
每天 -&nbsp;měitiān	every day
<div>o'clock</div>	点 -&nbsp;diǎn
点 -&nbsp;diǎn	o'clock
<div>half</div>	半 -&nbsp;bàn
半 -&nbsp;bàn	half
<div>to get out of bed</div>	起床 -&nbsp;qǐ chuáng
起床 -&nbsp;qǐ chuáng	to get out of bed
<div>to rise</div>	起 -&nbsp;qǐ
起 -&nbsp;qǐ	to rise
<div>bed</div>	床 -&nbsp;chuáng
床 -&nbsp;chuáng	bed
<div>early</div>	先 -&nbsp;xiān
先 -&nbsp;xiān	early
<div>to bathe</div>	洗澡 -&nbsp;xǐ zǎo
洗澡 -&nbsp;xǐ zǎo	to bathe
<div>to wash</div>	洗 -&nbsp;xǐ
